Carrier	PolicyType	ID	SPriorIns	UPriorIns	NPriorIns	SDayLapse	UDayLapse	NDayLapse	SMaxShingle	UMaxShingle	NMaxShingle	SArchShingle	UArchShingle	NArchShingle	SMaxTile	UMaxTile	NMaxTile	SMaxMetal	UMaxMetal	NMaxMetal	SFlatRoofage	UFlatRoofage	NFlatRoofage	SFlatRoof	UFlatRoof	NFlatRoof	SAge4Point	UAge4Point	NAge4Point	Nplumbing	STrampoline	Utrampoline	NTrampoline	SPoolSlide	UPoolSlide	NPoolSlide	SWindowAC	UWindowAC	NWindowAC	SBars	UBars	Nbars	SBadDog	UBadDog	NBadDog	Sacres	Uacres	Nacres	SFarmAnimal	UFarmAnimal	NFarmAnimal	SSeasonalNon	USeasonalNon	NSeasonal	SRentalFreq	URentalFreq	MaxRenters	SSeasonalCon	USeasonalCon	SOwnerOcc	UOwnerOcc	NOwnerOcc	Nalarm	SGate	UGate	SAlarm	UAlarm	SPatrol	UPatrol	SManager	UManager	SNone	UNone	Sclaims	Uclaims	Nclaims	Swater	Uwater	Nwater	SCrawlspaceMat	UCrawlspacemat	NCrawlspace	SPiers	UPiers	NPiers	SBarrierIsland	UBarrierIsland	NBarrierIsland	SWindPool	UWindPool	NWindPool	SWiring	UWiring	Nwiring	SFederalPanel	UFederalPanel	NFederalPanel	SBankruptcy	UBankruptcy	NBankruptcy	STownhome	UTownhome	NTownhome	SPC9	UPC9	NPC9	SPC10	UPC10	NPC10	SLLC	ULLC	NLLCLiability	NLLCNamed	NLLCAdd	NLLC	UTrustLiability	NTrustLiability	UTrustAdd	NTrustAdd	UTrustNamed	Strust	UTrust	Ntrust	SForeclosureFull	SForeclosure4Point	SForeclosureNone	NForeclosureInfo	SForeclosure	UForeclosure	NForeclosure	SMinCovA	UMinCovA	NMinCovA	SMaxCovA	UMaxCovA	NMaxCovA	ClosedCounty
American Integrity	H03	1	TRUE	TRUE		0	90	once it is 31 days up to 90 days requires pre-approval	15	15		20	20		40	40		40	40					20	20	do not count porches unless part of roof line	40	9999	insured supplies	galvanized (with apprvl)	FALSE	TRUE	must have fence and no liability for trampoline	FALSE	FALSE		TRUE	TRUE		FALSE	TRUE	with uw approval and need to find out if the bars need to be quick release or not	FALSE	TRUE	"no Pitbull, staffordshire terrier, or wolf"	5	9999	Over 5 Could be Approved	TRUE	TRUE		4	4	4 months non consecutive	"Weekly, Monthly, Quarterly, Yearly"	"Weekly, Monthly, Quarterly, Yearly"	99	4	4	FALSE	FALSE		alarm or limited access (3 entries or less)	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	1	"1 within 3 years, no liab or fire within 5 and no sinkhole"	TRUE	TRUE		masonry or hardiboard	masonry or hardiboard	masonry or hardiboard		"wood, masonry (home needs to be 2002 and newer & you will need to call to see if restrictions on any foundation material)"	"wood, masonry (home needs to be 2002 and newer & you will need to call to see if restrictions on any foundation material)"	TRUE	TRUE		FALSE	FALSE		FALSE	TRUE	with alumicon or copalum connectors	FALSE	FALSE		FALSE	TRUE	with  pre-approval	FALSE	FALSE		FALSE	TRUE	with pre-approval	FALSE	TRUE	with pre-approval	FALSE	TRUE	FALSE	FALSE	FALSE	LLC (as additional interest & you will need to call to see if it includes liability)	TRUE		TRUE	yes (call for approval since new system coming soon)	TRUE	FALSE	TRUE	yes (call for approval since new system coming soon)	TRUE	FALSE	FALSE	(pre home insp for uw review)	FALSE	TRUE	(pre home insp for uw review)	150000	0	150k can get approval for lower cov in some counties	1500000	2000000	Over 1.5m up to 2m with uw approval	Hernando
American Integrity	H06	2	FALSE	TRUE	No water coverage for first year	0	90	No water Damage first year and must call in to add at renewal	15	15		20	20		40	40		40	40					100	100	if multiple stores (you can call for pre-approval)	9999	9999	no 4 point needed	galvanized (with apprvl)	FALSE	TRUE	must have fence and no liability for trampoline	FALSE	FALSE		TRUE	TRUE		FALSE	TRUE	with uw approval and need to find out if the bars need to be quick release or not	FALSE	TRUE	"no Pitbull, staffordshire terrier, or wolf"	5	9999	Over 5 Could be Approved	TRUE	TRUE		4	4	4 months non consecutive	"Weekly, Monthly, Quarterly, Yearly"	"Weekly, Monthly, Quarterly, Yearly"	5	4	4	TRUE	TRUE	up to 5 different renters a year	alarm or limited access (3 entries or less)	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	1	"1 within 3 years, no liab or fire within 5 and no sinkhole"	TRUE	TRUE		masonry or hardiboard	masonry or hardiboard	masonry or hardiboard		"wood, masonry (home needs to be 2002 and newer & you will need to call to see if restrictions on any foundation material)"	"wood, masonry (home needs to be 2002 and newer & you will need to call to see if restrictions on any foundation material)"	TRUE	TRUE		FALSE	FALSE		FALSE	TRUE	with alumicon or copalum connectors	FALSE	FALSE		FALSE	TRUE	with  pre-approval	TRUE	TRUE		FALSE	TRUE	with pre-approval	FALSE	TRUE	with pre-approval	FALSE	TRUE	FALSE	FALSE	FALSE	LLC (as additional interest & you will need to call to see if it includes liability)	TRUE		TRUE	yes (call for approval since new system coming soon)	TRUE	FALSE	TRUE	yes (call for approval since new system coming soon)	TRUE	FALSE	FALSE	(pre home insp for uw review)	FALSE	TRUE	(pre home insp for uw review)	25000	25000		500000	500000		Hernando
American Integrity	DP1	3	FALSE	FALSE		0	90	once it is 31 days up to 90 days requires pre-approval	15	15		20	20		40	40		40	40					20	20	do not count porches unless part of roof line	9999	9999	no 4 point needed	galvanized (with apprvl)	FALSE	TRUE	must have fence and no liability for trampoline	FALSE	FALSE		TRUE	TRUE		FALSE	TRUE	with uw approval and need to find out if the bars need to be quick release or not	FALSE	TRUE	"no Pitbull, staffordshire terrier, or wolf"	5	9999	Over 5 Could be Approved	TRUE	TRUE		4	4	4 months non consecutive	"Weekly, Monthly, Quarterly, Yearly"	"Weekly, Monthly, Quarterly, Yearly"	5	4	4	TRUE	TRUE	up to 5 different renters a year	alarm or limited access (3 entries or less)	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	1	"1 within 3 years, no liab or fire within 5 and no sinkhole"	TRUE	TRUE		masonry or hardiboard	masonry or hardiboard	masonry or hardiboard		"wood, masonry (home needs to be 2002 and newer & you will need to call to see if restrictions on any foundation material)"	"wood, masonry (home needs to be 2002 and newer & you will need to call to see if restrictions on any foundation material)"	TRUE	TRUE		FALSE	FALSE		FALSE	TRUE	with alumicon or copalum connectors	FALSE	FALSE		FALSE	TRUE	with  pre-approval	FALSE	FALSE		FALSE	TRUE	with pre-approval	FALSE	TRUE	with pre-approval	FALSE	TRUE	FALSE	FALSE	FALSE	LLC (as named insured with liability)	FALSE		FALSE		FALSE	FALSE	TRUE		FALSE	FALSE	FALSE	(pre home insp for uw review)	FALSE	TRUE	(pre home insp for uw review)	100000	100000		500000	500000		Hernando
American Integrity	DP3	4	TRUE	TRUE		0	90	once it is 31 days up to 90 days requires pre-approval	15	15		20	20		40	40		40	40					20	20	do not count porches unless part of roof line	30	9999	insured supplies	galvanized (with apprvl)	FALSE	TRUE	must have fence and no liability for trampoline	FALSE	FALSE		TRUE	TRUE		TRUE	TRUE		FALSE	TRUE	"no Pitbull, staffordshire terrier, or wolf"	5	9999	Over 5 Could be Approved	TRUE	TRUE		4	4	4 months non consecutive	"Weekly, Monthly, Quarterly, Yearly"	"Weekly, Monthly, Quarterly, Yearly"	5	4	4	TRUE	TRUE	up to 5 different renters a year	alarm or limited access (3 entries or less)	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	1	"1 within 3 years, no liab or fire within 5 and no sinkhole"	TRUE	TRUE		masonry or hardiboard	masonry or hardiboard	masonry or hardiboard		"wood, masonry (home needs to be 2002 and newer & you will need to call to see if restrictions on any foundation material)"	"wood, masonry (home needs to be 2002 and newer & you will need to call to see if restrictions on any foundation material)"	TRUE	TRUE		FALSE	FALSE		FALSE	TRUE	with alumicon or copalum connectors	FALSE	FALSE		FALSE	TRUE	with  pre-approval	FALSE	FALSE		FALSE	TRUE	with pre-approval	FALSE	TRUE	with pre-approval	FALSE	TRUE	FALSE	FALSE	FALSE	LLC (as named insured with liability)	TRUE		TRUE	yes (call for approval since new system coming soon)	TRUE	FALSE	TRUE	yes (call for approval since new system coming soon)	TRUE	FALSE	FALSE	(pre home insp for uw review)	FALSE	TRUE	(pre home insp for uw review)	125000	125000		750000	750000		Hernando
American Strategic	H03	5	TRUE	TRUE		0	9999	will need approval on any amount of lapse	15	15		15	20	15 (will take up to a 20 year architectural shingle with pre-approval)	25	25		25	25		0	0		0	0		40	9999	insured supplies		FALSE	FALSE		FALSE	FALSE		FALSE	FALSE		FALSE	TRUE	with quick release	FALSE	FALSE		5	9999	Over 5 Could be Approved	FALSE	FALSE		12	12	4 consecutive months	"Weekly, Monthly, Quarterly, Yearly"	"Weekly, Monthly, Quarterly, Yearly"	99	4	4	FALSE	FALSE		gate only	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	2	requires uw review	TRUE	TRUE		masonry or hardiboard	masonry or hardiboard	masonry or hardiboard		"wood, masonry (home needs to be 2002 and newer & you will need to call to see if restrictions on any foundation material)"	"wood, masonry (home needs to be 2002 and newer & you will need to call to see if restrictions on any foundation material)"	TRUE	TRUE		FALSE	FALSE		FALSE	FALSE		FALSE	FALSE		FALSE	TRUE	determined by credit if company will accept it	FALSE	FALSE		TRUE	TRUE		TRUE	TRUE		FALSE	TRUE	TRUE	TRUE	FALSE	LLC (as named insured with liability)	TRUE	(you must send ASI the trust documents for pre-approval)	TRUE		FALSE	FALSE	TRUE	you must send ASI the trust documents for pre-approval	FALSE	FALSE	TRUE	if cash deal ASI needs color photos or all interior and exterior prior to binding	TRUE	TRUE	if cash deal	75000	75000	"75k may get approval for less than $75,000 with photos and uw approval"	500000	500000		"Pasco, Hernando"
American Strategic	H06	6	TRUE	TRUE		0	9999	will need approval on any amount of lapse	15	15		15	20	15 (will take up to a 20 year architectural shingle with pre-approval)	25	25		25	25					0	100	Call for Approval	40	9999	Over 41 Needed to Add Full Water		FALSE	FALSE		FALSE	FALSE		FALSE	FALSE		FALSE	TRUE	with quick release	FALSE	FALSE		5	9999	Over 5 Could be Approved	FALSE	FALSE		12	12	4 consecutive months	"Weekly, Monthly, Quarterly, Yearly"	"Weekly, Monthly, Quarterly, Yearly"	99	4	4	FALSE	FALSE		gate only	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	2	requires uw review	TRUE	TRUE		masonry or hardiboard	masonry or hardiboard	masonry or hardiboard		"wood, masonry (home needs to be 2002 and newer & you will need to call to see if restrictions on any foundation material)"	"wood, masonry (home needs to be 2002 and newer & you will need to call to see if restrictions on any foundation material)"	TRUE	TRUE		FALSE	FALSE		FALSE	FALSE		FALSE	FALSE		FALSE	TRUE	determined by credit if company will accept it	FALSE	TRUE	"must provide copy of master policy and run their RCE. You do not have to use their exact number and can decrease down to $50,000 for Coverage A"	TRUE	TRUE		TRUE	TRUE		FALSE	TRUE	TRUE	TRUE	FALSE	LLC (as named insured with liability)	TRUE	(you must send ASI the trust documents for pre-approval)	TRUE		FALSE	FALSE	TRUE	you must send ASI the trust documents for pre-approval	FALSE	FALSE	TRUE	if cash deal ASI needs color photos or all interior and exterior prior to binding	TRUE	TRUE	if cash deal	35000	35000		100000	100000		"Pasco, Hernando"
American Strategic	DP3	7	TRUE	TRUE		0	9999	will need approval on any amount of lapse	15	15		15	20	15 (will take up to a 20 year architectural shingle with pre-approval)	25	25		25	25		0	0		0	100	100% (with no water damage coverage)	31	9999	insured supplies		FALSE	FALSE		FALSE	FALSE		FALSE	FALSE		FALSE	TRUE	with quick release	FALSE	FALSE		5	9999	Over 5 Could be Approved	FALSE	FALSE		12	12	4 consecutive months	"Quarterly, Yearly"	"Weekly, Monthly, Quarterly, Yearly"	52	4	4	FALSE	TRUE	weekly or monthly with pre-approval		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	2	requires uw review	TRUE	TRUE		"hardiboard, masonry"	"wood or lattice (both will need pre-approval), hardiboard, masonry"	"wood or lattice (both will need pre-approval), hardiboard, masonry"		"wood, hardiboard, masonry (need to call to see if restrictions on any foundation material)"	"wood, hardiboard, masonry (need to call to see if restrictions on any foundation material)"	TRUE	TRUE		FALSE	FALSE		FALSE	FALSE		FALSE	FALSE		FALSE	TRUE	determined by credit if company will accept it	FALSE	TRUE	"if rented townhome,condo"	TRUE	TRUE		TRUE	TRUE		FALSE	TRUE	TRUE	TRUE	FALSE	LLC (as named insured with liability)	TRUE	(you must send ASI the trust documents for pre-approval)	TRUE		FALSE	FALSE	TRUE	you must send ASI the trust documents for pre-approval	FALSE	FALSE	TRUE	if cash deal ASI needs color photos or all interior and exterior prior to binding	TRUE	TRUE	if cash deal	75000	0	"75k may get approval for less than $75,000 with photos and uw approval"	500000	500000		"Pasco, Hernando"
American Strategic	H08	8	TRUE	TRUE		0	9999	will need approval on any amount of lapse	15	15		15	20	15 (will take up to a 20 year architectural shingle with pre-approval)	25	25		25	25		0	0		0	0		40	9999	insured supplies		FALSE	FALSE		FALSE	FALSE		FALSE	FALSE		FALSE	TRUE	with quick release	FALSE	FALSE		5	9999	Over 5 Could be Approved	FALSE	FALSE		12	0	call for approval	"Quarterly, Yearly"	"Weekly, Monthly, Quarterly, Yearly"	52	12	0	FALSE	TRUE	weekly or monthly with pre-approval	call for approval	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	0	2	requires uw review	TRUE	TRUE			"wood or lattice (both with pre-approval), hardiboard, masonry"	call for approval		"wood, hardiboard, masonry (need to call to see if restrictions on any foundation material)"	"wood, hardiboard, masonry (need to call to see if restrictions on any foundation material)"	TRUE	TRUE		FALSE	FALSE		FALSE	FALSE		FALSE	FALSE		FALSE	TRUE	determined by credit if company will accept it	FALSE	FALSE		TRUE	TRUE		TRUE	TRUE		FALSE	TRUE	TRUE	TRUE	FALSE	LLC (as named insured with liability)	TRUE	(you must send ASI the trust documents for pre-approval)	TRUE		FALSE	FALSE	TRUE	you must send ASI the trust documents for pre-approval	FALSE	FALSE	TRUE	if cash deal ASI needs color photos or all interior and exterior prior to binding	TRUE	TRUE	if cash deal	75000	0	"75k may get approval for less than $75,000 with photos and uw approval"	500000	500000		"Pasco, Hernando"
Centauri	H03	9	TRUE	TRUE		60	60		15	15		29	29		29	29		29	29		10	10		100	100	Must be 10 years or newer	9999	9999	Centauri pays for it from 40-74 (BUT insured has to supply one for 75+)	PEX	FALSE	FALSE		FALSE	FALSE		FALSE	FALSE		FALSE	TRUE	they must be quick release	FALSE	FALSE		5	5		FALSE	FALSE		12	12	4 consecutive months	"Weekly, Monthly, Quarterly, Yearly"	"Weekly, Monthly, Quarterly, Yearly"	99	4	4	FALSE	FALSE		alarm or single entry	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	1	1 (no liability)	FALSE	TRUE	"under $10,000"	"hardiboard, masonry"	"wood or lattice (both with pre-approval), hardiboard, masonry"	"wood or lattice (both with pre-approval), hardiboard, masonry"		"wood, hardiboard, masonry (need to call to see if restrictions on any foundation material)"	"wood, hardiboard, masonry (need to call to see if restrictions on any foundation material)"	TRUE	TRUE		FALSE	TRUE	based on system	FALSE	FALSE		FALSE	TRUE	if replaced 45 days after effective date	FALSE	TRUE	yes (including open bankruptcies)	FALSE	FALSE		FALSE	TRUE	with pre-approval	FALSE	TRUE	with pre-approval	FALSE	TRUE	TRUE	FALSE	TRUE	LLC (as additional interest & you will need to call to see if it includes liability)	TRUE		TRUE		FALSE	FALSE	TRUE		FALSE	TRUE	FALSE		FALSE	FALSE		75000	75000		1000000	1000000		"Pasco, Hernando"
Centauri	H06	10	FALSE	FALSE		0	0	when completing the application you must put in that they have prior insurance but make sure to put in the notes that the insured really has no prior which you will do at the end of application	15	15		29	29		29	29		29	29		10	10		100	100	must be 10 yrs or newer but call for approval on condos if multiple stories	9999	9999	no 4 point needed	PEX	FALSE	FALSE		FALSE	FALSE		FALSE	FALSE		FALSE	TRUE	they must be quick release	FALSE	FALSE		5	5		FALSE	FALSE		4	4	4 months not consecutive	"Monthly, Quarterly, Yearly"	"Monthly, Quarterly, Yearly"	12	4	4	TRUE	TRUE	allow monthly rentals	"alarm, single entry or keyless entry into building"	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0	1	1 (no liability)	FALSE	TRUE	"under $10,000"	"hardiboard, masonry"	"wood or lattice (both with pre-approval), hardiboard, masonry"	"wood or lattice (both with pre-approval), hardiboard, masonry"		"wood, hardiboard, masonry (need to call to see if restrictions on any foundation material)"	"wood, hardiboard, masonry (need to call to see if restrictions on any foundation material)"	TRUE	TRUE		FALSE	TRUE	if condo not on bottom level	FALSE	FALSE		FALSE	TRUE	if replaced 45 days after effective date	FALSE	TRUE	yes (including open bankruptcies)	FALSE	TRUE	with copy of master policy	FALSE	TRUE	with pre-approval	FALSE	TRUE	with pre-approval	FALSE	TRUE	TRUE	FALSE	TRUE	LLC (as additional interest & you will need to call to see if it includes liability)	TRUE		TRUE		FALSE	FALSE	TRUE		FALSE	TRUE	FALSE		FALSE	FALSE		35000	35000		100000	100000		"Pasco, Hernando"
